review;label
aplikasi belum layak untuk guna bisa lihat dari komentar teman ketika unggah selalu keluar sendiri kualitas gambar bukan salah spesifikasi android kamera saat foto biasa jernih dan fokus aplikasi ini hasil foto kabur dan tidak dapat fokus cara manual mungkin ingat kualitas gambar definisi tinggi makan simpan besar mungkin tapi ini kualitas kabur terlalu kecil tolong baik cepat;0.0
mohon baik kembali tulis sangat kadang sering baca jadi hati hati buat teman si rekapitulasi walau tulis sudah hijau itu belum tentu data sama dengan yang sudah foto moga cepat si rekapitulasi ini fungsi dengan harus pada hari h nanti dan mudah rekapitulasi data layak;0.0
dasar hasil alam simulasi banyak sekali masalah dari sistem nya awal kirim foto kadang hasil kirim tapi proses nya tidak bisa padahal kualitas foto turut kita lihat sudah sangat pada foto dewan wakil rakyat yang saya uji satu yang verifikasi tidak bisa kita coba lanjut untuk kunci dan pdf karena tidak selesai semua sudah ulang sangat di coba tetap tidak bisa di proses;0.0
mohon tambah beberapa menu mode kamera yang akan guna beberapa kamera ponsel otomatis mode tidak bisa ubah ke mode normal baik sehingga banyak masalah gambar tidak foto dengan jelas ketika uji coba unggah foto yang ada catat keluar catat masuk sendiri hasil beberapa sangat ganti kata kata sandi dan bahkan banyak yang foto tidak kirim dan itu sangat sangat hambat proses kirim foto sirekap;0.0
sedikit saran tentang aplikasi ini aplikasi ini agar bisa akses kamera utama supaya gambar yang di ambil lebih tajam hasil karena lama uji coba kemarin gambar yang di ambil rata kabur walaupun cahaya cukup padahal banyak teman sirekap punya perangkat yang lumayan bagus dari segi kamera hasil gambar itu juga sangat pengaruh saat unggah gambar yang sering gagal tidak baca oleh sistem mohon untuk baik atau baik terima kasih;0.0
segera baik menu detail pilih sebab gagal laku koreksi hasil ambil foto formulir c periksa formulir c hasil dalam jendela periksa sesuai data hanya bisa kasih sangat cros tidak sesuai tetapi jumlah yang perlu koreksi tidak muncul ubah kotak nya terima kasih;0.0
aplikasi sangat tidak layak guna tidak akan cepat tapi malah sulit mohon sempurna lagi sangat banyak kurang pada saat ponsel posisi online di aplikasi deteksi offline saat unggah foto aplikasi tidak benar bisa baca angka di c plano unggah foto pada menu dewan wakil rakyat waktu sangat lama dan lain lain masih banyak kurang;0.0
aplikasi terlalu banyak manual bukan mudah tetapi lama jumlah masih manual tidak otomatis jika jadi tidak sesuai suara hanya beri tanda saja dan tidak bisa ubah angka yang benar ketika kirim foto mental ketika foto c hasil meski kabur tapi tetap lolos verifikasi tidak bisa copot foto dan ubah jumlah suara belum kunci dokumen ketika masuk sulit ketika mau kirim pdf ke saksi awas mental lagi kalau belum siap jangan paksa;0.0
aplikasi di buat untuk formalitas saja maka tiap sangat di baru aplikasi tidak ada baik kualitas baik aplikasi yang kurang stabil atau server yang di guna sehingga ketika waktu catat hasil pilih umum lalu aplikasi sering jadi eror;0.0
untuk aplikasi kelas nasional ini benar benar jelek unggah gambar sulit buat mode pesawat bisa tapi harus masuk angka cara manual belum lagi untuk buat dokumen pdf nya lama mulai sore sampai pagi tetap tidak bisa buat untuk tim buat aplikasi kalau ada komentar komentar begini tolong baca dan baik karena yang guna aplikasi ini kan tim selenggara pungut suara untuk lancar pilih umum juga besok yang buat lama bukan hitung suara tapi sirekap masalah bukan mudah jadi sulit;0.0
bukan mudah malah sulit masuk eror sulit lama kualitas unggah gambar jelek tulis bagus malah tidak baca verifikasi gambar juga lama buat berkas ke pdf juga lama tolong segera baik jika memang niat mudah;0.0
