review;label
aplikasi belum layak untuk operasi bisa lihat dari komenan kawan pas unggah selalu logout sendiri kualitas gambar bukan salah spek android camera saat poto biasa jernih dan fokus aplikasi ini hasil poto buram dan tidak dapat fokus cara manual mungkin ingat kualitas gambar hd makan simpan besar mungkin tapi ini kualitas buram terlalu kecil tolong baik cepat;0.0
mohon benah kembali tulis x kadang sering baca jadi hati hati buat kawan si rekap walau tulis sudah hijau itu belum tentu data sama dengan yg sudah foto moga cepat si rekap ini fungsi dengan mesti pada hari h nanti dan mudah rekap data layak;0.0
dasar hasil alam simulasi banyak sekali kendala dari sistem nya awal kirim foto kadang hasil kirim tapi proses nya ngak bisa padahal kualitas foto turut kita liat sudah sangat pada foto dpr yg saya tes satu yg verifikasi ngak bisa kita coba lanjut untuk kunci dan pdfkan karena tidak selesai semua sudah ulang kali di coba tetap ngak bisa di proses;0.0
mohon tambah beberapa menu mode kamera yg akan guna beberapa kamera hp auto mode tidak bisa rubah ke mode normal optimal sehingga banyak masalah gambar tidak foto dengan jelas ketika uji coba upload foto yang ada log out log in sendiri alhasil beberapa kali ganti password dan bahkan banyak yang foto tidak kirim dan itu sangat sangat hambat proses kirim foto sirekap;0.0
sedikit saran ttg aplikasi ini aplikasi ini agar bisa akses kamera utama supaya gambar yg di ambil lebih tajam hasil karna lama uji coba kemarin gambar yg di ambil rata blur walaupun cahaya cukup padahal banyak teman sirekap punya device yg lumayan bagus dr segi kamera hasil gambar itu jg sangat pengaruh saat upload gambar yg sering gagal tidak baca oleh sistem mohon untuk baik atau tingkat terima kasih;0.0
segera baik menu detail pilih sebab gagal laku koreksi hasil ambil foto form c periksa form c hasil dalam jendela periksa sesuai data hanya bisa kasih x cros tidak sesuai tp jumlah yg perlu koreksi tidak muncul editable box nya terima kasih;0.0
aplikasi sangat tidak layak guna tidak akan cepat tapi malah sulit mohon sempurna lagi sangat banyak kurang pada saat hp posisi online di aplikasi deteksi offline saat unggah foto aplikasi tidak benar bisa baca angka di c plano unggah foto pada menu dpr waktu sangat lama dll masih banyak kurang;0.0
aplikasi terlalu banyak manual bukan mudah tpi lama jumlah masih manual tidak otomatis jika jadi tidak sesuai suara hanya beri tanda saja dan tidak bisa ubah angka yang benar ketika kirim foto mental ketika foto c hasil meski buram tapi tetap lolos verifikasi tidak bisa hapus foto dan edit jumlah suara belum kunci dokumen ketika login sulit ketika mau kirim pdf ke saksi awas mental lagi kalau belum siap jangan paksa;0.0
aplikasi di bwt untuk formalitas aja mangkanya tiap kali di baru aplikasi gak ada tingkat kualitas baik aplikasi yg kurang stabil maupun server yg di guna sehingga pas waktu catat hasil pemilu lalu aplikasi seringkali jadi error;0.0
untuk aplikasi kelas nasional ini benar benar jelek unggah gambar susah buat mode pesawat bisa tapi harus masuk angka cara manual belum lagi untuk buat dokumen pdf nya lama mulai sore sampai pagi tetap tidak bisa buat untuk tim buat aplikasi kalau ada komen komen gini tolong baca dan baik karena yang pakai aplikasi ini kan kpps untuk lancar pemilu juga besok yang buat lama bukan hitung suara tapi sirekap masalah bukan mudah jadi sulit;0.0
bukan mudah malah sulit login error susah lama kualitas upolad gambar jelek tulis bagus malah tidak baca verifikasi gambar juga lama buat berkas ke pdf juga lama tolong segera baik jika memang niat mudah;0.0
saya sangat apresiasi sekali untuk hadir aplikasi ini namun waktu simulasi saya serta yang lain mengalmi beberapa kendala seperti aplikasi salah baca data yang ambil hasil ambil gambar selalu buram atau kurang maksimal dan ambil gambar yang ulang namun tetap slow respon untuk depan moga waktu laksana di hari h semua bisa kendali dan jalan dengan baik moga depan negara indonesia jadi negara yang lebih maju dengan pimpin yg baru;1.0
