review;date;label
Aplikasi belum layak untuk dioperasikan 1.bisa dilihat dari komenan kawan2,pas unggah selalu logout sendiri. 2.kualitas gambar,bukan kesalah spek android,camera saat poto biasa jernih dan fokus,diaplikasi ini hasil poto buram dan tidak dapat difokuskan secara manual,mungkin mengingat kualitas gambar HD memakan penyimpanan besar mungkin,tapi ini kualitasnya buram,terlalu kecil,tolong perbaiki secepatnya,!!!;2024-02-05 00:55:12;0
Mohon dibenahi kembali, tulisan X kadang sering terbaca jadi 8, Hati-hati buat kawan si rekap walau tulisan sudah hijau itu belum tentu data sama dengan yg sudah difoto. Semoga secepatnya si rekap ini berfungsi dengan semestinya pada hari H nanti dan mempermudah merekap data selayaknya.;2024-02-08 02:29:18;0
Berdasarkan hasil pengalaman simulasi banyak sekali kendala dari sistem nya awalnya pengiriman foto kadang berhasil terkirim tapi proses nya ngak bisa padahal kualitas fotonya menurut kita liat sudah sangat memadai . Foto DPR yg saya tes satu yg terverifikasi ngak bisa kita coba lanjut untuk mengunci dan pdfkan karena tidak selesai semuanya ... Sudah berulang kali di coba tetap ngak bisa di proses;2024-02-07 15:24:07;0
Mohon ditambahkan beberapa menu mode kamera yg akan digunakan, beberapa kamera HP auto mode 0,5 tidak bisa dirubah ke mode normal/optimal ... sehingga banyak masalah gambar tidak terfoto dengan jelas... ketika uji coba upload foto yang ada log-out log-in sendiri.. alhasil beberapa kali ganti password.. dan bahkan banyak yang fotonya tidak terkirim dan itu sangat-sangat menghambat proses pengiriman foto siRekap.;2024-02-08 10:03:05;0
Sedikit saran ttg aplikasi ini, aplikasi ini agar bisa mengakses kamera utama supaya gambar yg di ambil lebih tajam hasilnya, karna selama uji coba kemarin gambar yg di ambil rata blur walaupun pencahayaannya cukup, padahal banyak teman sirekap punya device yg lumayan bagus dr segi kamera. Hasil gambar itu jg sangat mempengaruhi saat upload gambar yg sering gagal/tidak terbaca oleh sistem, Mohon untuk diperbaiki atau ditingkatkan. Terima kasih.;2024-02-12 04:12:06;0
Segera perbaiki menu detail pemilihan, sebab gagal lakukan koreksi hasil pengambilan foto form C, periksa form C Hasil, dalam jendela periksa kesesuaian data, hanya bisa kasih x (cross) tidak sesuai, tp jumlah yg perlu dikoreksi tidak muncul editable box nya. Terima kasih.;2024-02-10 18:44:25;0
Aplikasi sangat tidak layak digunakan, tidak akan mempercepat tapi malah mempersulit mohon disempurnakan lagi, sangat banyak kekurangan: 1. Pada saat hp posisi online di aplikasi terdeteksi offline 2. Saat unggah foto aplikasi tidak benar  Bisa membaca angka di c. Plano 3. Unggah foto pada menu DPR waktunya sangat lama Dll.....!!!!! Masih banyak kekurangan ! !!!!!!;2024-02-12 08:37:50;0
Aplikasinya terlalu banyak manual, bukan mempermudah tpi memperlama, penjumlahan masih manual tidak otomatis, jika terjadi ketidak sesuaian suara hanya diberi tanda saja dan tidak bisa mengubah angka yang sebenarnya.ketika kirim foto mental, ketika foto C hasil meskipun buram tapi tetap lolos verifikasi, tidak bisa hapus foto dan edit jumlah suara sebelum mengunci dokumen. Ketika login sulit. Ketika mau kirim pdf ke saksi/pengawas mental lagi, Kalau belum siap jangan dipaksakan;2024-02-06 22:34:55;0
Aplikasi di bwt untuk formalitas aja, mangkanya tiap kali di perbarui aplikasinya, gak ada peningkatan kualitas baik aplikasinya yg kurang stabil maupun server yg di gunakan. Sehingga pas waktu pencatatan hasil pemilu melalui aplikasi seringkali terjadi error.;2024-02-08 10:17:23;0
Untuk aplikasi sekelas nasional ini benar benar jelek. Unggah gambar susah dibuat mode pesawat bisa tapi harus masukkan angka secara manual. Belum lagi untuk membuat dokumen pdf nya lama mulai sore sampai pagi tetap tidak bisa dibuat. Untuk tim pembuat aplikasi kalau ada komen komen gini tolong dibaca dan diperbaiki karena yang memakai aplikasi ini kan kpps untuk kelancaran pemilu juga. Besok yang buat lama bukan penghitungan suara tapi sirekap bermasalah. Bukan mempermudah jadi mempersulit;2024-02-11 08:50:10;0
